,PB05_1
2015-05-28,12.82
2015-06-14,12.75
2015-06-28,12.57
2015-07-14,12.150000000000002
2015-07-28,12.190000000000001
2015-08-14,11.969999999999999
2015-08-28,12.29
2015-09-14,12.350000000000001
2015-09-28,12.370000000000001
2015-10-15,12.310000000000002
2015-10-28,12.43
2015-11-14,12.43
2015-11-28,12.530000000000001
2015-12-13,12.830000000000002
2015-12-27,12.95
2016-01-14,13.16
2016-01-28,13.14
2016-02-14,13.5
2016-02-28,13.52
2016-03-13,13.490000000000002
2016-03-27,13.41
2016-04-14,13.34
2016-04-27,13.310000000000002
2016-05-14,13.080000000000002
2016-05-28,13.04
2016-06-14,13.41
2016-06-28,13.64
2016-07-14,13.240000000000002
2016-07-28,12.91
2016-08-14,12.89
2016-08-27,12.580000000000002
2016-09-15,12.370000000000001
2016-09-28,12.400000000000002
2016-10-14,12.41
2016-10-28,12.45
2016-11-13,12.530000000000001
2016-11-27,12.71
2016-12-14,12.760000000000002
2016-12-28,12.780000000000001
2017-01-14,12.95
2017-01-27,12.04
2017-02-14,12.98
2017-02-28,13.120000000000001
2017-03-13,13.23
2017-03-28,13.25
2017-04-14,13.080000000000002
2017-04-28,12.990000000000002
2017-05-13,12.89
2017-05-27,12.620000000000001
2017-06-14,12.27
2017-06-28,12.030000000000001
2017-07-13,12.060000000000002
2017-07-28,12.09
2017-08-13,12.080000000000002
2017-08-29,11.91
2017-09-14,12.060000000000002
2017-09-28,12.18
2017-10-14,12.310000000000002
2017-10-28,12.36
2017-11-14,12.39
2017-11-28,12.580000000000002
2017-12-14,12.91
2017-12-28,12.990000000000002
2018-01-14,13.18
2018-01-28,13.25
2018-02-14,13.260000000000002
2018-02-28,13.2
2018-03-14,13.260000000000002
2018-03-28,13.280000000000001
2018-04-14,13.3
2018-04-28,13.129999999999999
2018-05-15,12.98
2018-05-29,12.8
2018-06-14,12.48
2018-06-27,12.170000000000002
2018-07-14,11.810000000000002
2018-07-28,11.57
2018-08-14,11.55
2018-08-28,11.670000000000002
2018-09-14,11.64
2018-09-29,11.7
2018-10-14,11.690000000000001
2018-10-28,11.719999999999999
2018-11-14,11.84
2018-11-28,11.900000000000002
2018-12-14,12.04
2018-12-28,12.850000000000001
2019-01-14,12.36
2019-01-29,12.55
2019-02-13,12.8
2019-02-28,12.830000000000002
2019-03-15,13.030000000000001
2019-03-28,13.05
2019-04-13,12.96
2019-04-27,12.8
2019-05-14,12.75
2019-05-28,12.600000000000001
2019-06-13,12.620000000000001
2019-06-27,12.21
2019-07-14,11.850000000000001
2019-07-28,11.71
2019-08-14,11.670000000000002
2019-08-28,11.629999999999999
2019-09-14,11.620000000000001
2019-09-28,11.690000000000001
2019-10-15,11.93
2019-10-29,12.05
2019-11-14,12.190000000000001
2019-11-28,12.379999999999999
2019-12-14,12.59
2019-12-28,12.8
2020-01-14,12.920000000000002
2020-01-28,12.95
2020-02-14,13.05
2020-02-28,13.469999999999999
2020-03-14,13.629999999999999
2020-03-28,13.34
2020-04-14,13.11
2020-04-28,12.920000000000002
2020-05-14,12.719999999999999
2020-05-28,12.420000000000002
2020-06-14,12.350000000000001
2020-06-28,12.43
2020-07-14,12.330000000000002
2020-07-28,12.04
2020-08-15,11.629999999999999
2020-08-28,11.740000000000002
2020-09-15,11.650000000000002
2020-09-28,11.77
